segment_variable,group,n,question_number,measure,pct_negative,pct_neutral,pct_positive,net,mean,kruskal_H,p,significant_p05
Gender,All respondents,431,28,WordPress now,38.1,29.2,32.7,-5.3,2.87,15.35,0.00154,yes
Gender,Male,300,28,WordPress now,36.0,28.0,36.0,0.0,2.93,15.35,0.00154,yes
Gender,Female,80,28,WordPress now,37.5,35.0,27.5,-10.0,2.88,15.35,0.00154,yes
Gender,Prefer not to answer,35,28,WordPress now,62.9,25.7,11.4,-51.4,2.2,15.35,0.00154,yes
Gender,Non-binary,15,28,WordPress now,26.7,26.7,46.7,20.0,3.27,15.35,0.00154,yes
Gender,All respondents,431,31,WordPress future,39.0,36.7,24.4,-14.6,2.8,18.87,0.00029,yes
Gender,Male,300,31,WordPress future,37.3,36.0,26.7,-10.7,2.85,18.87,0.00029,yes
Gender,Female,80,31,WordPress future,35.0,42.5,22.5,-12.5,2.8,18.87,0.00029,yes
Gender,Prefer not to answer,35,31,WordPress future,71.4,22.9,5.7,-65.7,2.11,18.87,0.00029,yes
Gender,Non-binary,15,31,WordPress future,20.0,46.7,33.3,13.3,3.2,18.87,0.00029,yes
Gender,All respondents,431,59,Open source software,3.9,14.4,81.7,77.7,4.16,11.28,0.01032,yes
Gender,Male,300,59,Open source software,4.7,13.3,82.0,77.3,4.21,11.28,0.01032,yes
Gender,Female,80,59,Open source software,2.5,20.0,77.5,75.0,3.96,11.28,0.01032,yes
Gender,Prefer not to answer,35,59,Open source software,2.9,11.4,85.7,82.9,4.11,11.28,0.01032,yes
Gender,Non-binary,15,59,Open source software,0.0,13.3,86.7,86.7,4.4,11.28,0.01032,yes
Gender,All respondents,431,68,AI in WordPress,49.9,33.2,16.9,-32.9,2.35,24.49,2e-05,yes
Gender,Male,300,68,AI in WordPress,48.3,32.3,19.3,-29.0,2.43,24.49,2e-05,yes
Gender,Female,80,68,AI in WordPress,38.8,46.2,15.0,-23.8,2.51,24.49,2e-05,yes
Gender,Prefer not to answer,35,68,AI in WordPress,77.1,17.1,5.7,-71.4,1.57,24.49,2e-05,yes
Gender,Non-binary,15,68,AI in WordPress,73.3,20.0,6.7,-66.7,1.6,24.49,2e-05,yes
Gender,All respondents,431,69,AI in web development,44.8,20.6,34.6,-10.2,2.7,23.98,3e-05,yes
Gender,Male,300,69,AI in web development,42.0,19.3,38.7,-3.3,2.83,23.98,3e-05,yes
Gender,Female,80,69,AI in web development,37.5,27.5,35.0,-2.5,2.79,23.98,3e-05,yes
Gender,Prefer not to answer,35,69,AI in web development,71.4,20.0,8.6,-62.9,1.77,23.98,3e-05,yes
Gender,Non-binary,15,69,AI in web development,73.3,13.3,13.3,-60.0,1.8,23.98,3e-05,yes
Gender,All respondents,431,67,AI in tech industry,46.2,22.7,31.1,-15.1,2.6,29.09,0.0,yes
