question_number,scale_type,item,export_column,n,mean,pct_1_2,pct_3,pct_4_5,pct_5,net,top_box_label
34,importance,Security in WordPress,How important are each of the following aspects of the WordPress open source project to you? (Security in WordPress required),431,4.68,1.4,3.5,95.1,75.6,93.7,very important
34,importance,WordPress open source software,How important are each of the following aspects of the WordPress open source project to you? (WordPress open source software required),431,4.58,1.4,4.6,94.0,65.4,92.6,very important
34,importance,Web standards and compliance,How important are each of the following aspects of the WordPress open source project to you? (Web standards and compliance required),431,4.57,1.6,4.6,93.7,65.9,92.1,very important
62,importance,Open source software,How important are the following to you? (Open source software required),431,4.59,1.2,5.3,93.5,68.0,92.3,very important
62,importance,The sustainability of open source projects,How important are the following to you? (The sustainability of open source projects required),431,4.58,1.2,5.6,93.3,66.6,92.1,very important
62,importance,Open source in WordPress,How important are the following to you? (Open source in WordPress required),431,4.51,2.8,5.1,92.1,63.1,89.3,very important
62,importance,Open source values (whatever that means to you)required,How important are the following to you? (Open source values (whatever that means to you)required),431,4.51,3.2,4.9,91.9,64.3,88.6,very important
34,importance,Open source values,How important are each of the following aspects of the WordPress open source project to you? (Open source values required),431,4.48,2.6,6.7,90.7,61.9,88.2,very important
38,importance,Personal capacity,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Personal capacity)",431,4.22,3.7,13.5,82.8,44.5,79.1,very important
59,sentiment,"Right now, how do you generally feel about open source software?","Right now, how do you generally feel about open source software?",431,4.16,3.9,14.4,81.7,39.4,77.7,very positive
34,importance,The WordPress community,How important are each of the following aspects of the WordPress open source project to you? (The WordPress community required),431,4.13,7.0,12.8,80.3,41.8,73.3,very important
34,importance,WordPress governance,How important are each of the following aspects of the WordPress open source project to you? (WordPress governance required),431,4.17,5.8,17.6,76.6,50.8,70.8,very important
38,importance,Feeling welcome/included,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Feeling welcome/included required)",431,4.06,5.8,17.9,76.3,39.2,70.5,very important
38,importance,"Advocacy on behalf of web standards (accessibility, privacy, etc.)","When deciding to participate in the WordPress open source project, how important are each of the following to you? (Advocacy on behalf of web standards (accessibility, privacy, etc.) required)",431,3.99,7.7,16.7,75.6,33.6,68.0,very important
34,importance,WordPress leadership,How important are each of the following aspects of the WordPress open source project to you? (WordPress leadership required),431,4.04,8.1,18.1,73.8,43.4,65.7,very important
57,importance,"Cost of attendance (travel, housing, etc.)","When deciding to attend in-person conferences or events, how important are each of the following to you? (Cost of attendance (travel, housing, etc.) required)",431,3.9,11.4,16.2,72.4,34.3,61.0,very important
22,agreement,I consider myself to be a member of the WordPress community.,I consider myself to be a member of the WordPress community.,431,3.88,12.3,16.2,71.5,32.9,59.2,strongly agree
34,importance,Collaboration with the greater open source ecosystem,How important are each of the following aspects of the WordPress open source project to you? (Collaboration with the greater open source ecosystem required),431,3.82,8.8,23.4,67.7,26.0,58.9,very important
57,importance,Topics of sessions / panels,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Topics of sessions / panels required)",431,3.69,11.1,21.6,67.3,18.6,56.1,very important
38,importance,Project leadership,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Project leadership)",431,3.83,12.5,20.2,67.3,32.7,54.8,very important
