question_number,column_role,export_column,response,count,pct_of_431,pct_of_answered,note
1,question,What is your age?,35-44,161,37.35,37.35,
1,question,What is your age?,45-54,135,31.32,31.32,
1,question,What is your age?,55-64,65,15.08,15.08,
1,question,What is your age?,25-34,39,9.05,9.05,
1,question,What is your age?,65-74,20,4.64,4.64,
1,question,What is your age?,Prefer not to answer,11,2.55,2.55,
2,question,What is your gender?,Male,300,69.61,69.61,
2,question,What is your gender?,Female,80,18.56,18.56,
2,question,What is your gender?,Prefer not to answer,35,8.12,8.12,
2,question,What is your gender?,Non-binary,15,3.48,3.48,
2,question,What is your gender?,Other,1,0.23,0.23,
3,question,Please indicate your gender identification:,none of your business,1,0.23,100.0,
4,question,What country do you primarily work from?,United States,174,40.37,40.37,
4,question,What country do you primarily work from?,Netherlands,34,7.89,7.89,
4,question,What country do you primarily work from?,Canada,30,6.96,6.96,
4,question,What country do you primarily work from?,Germany,27,6.26,6.26,
4,question,What country do you primarily work from?,United Kingdom,26,6.03,6.03,
4,question,What country do you primarily work from?,Australia,22,5.1,5.1,
4,question,What country do you primarily work from?,Greece,12,2.78,2.78,
4,question,What country do you primarily work from?,Prefer not to answer,11,2.55,2.55,
4,question,What country do you primarily work from?,Spain,10,2.32,2.32,
4,question,What country do you primarily work from?,France,10,2.32,2.32,
4,question,What country do you primarily work from?,"(33 other countries, each under 10 respondents)",75,17.4,17.4,grouped to prevent identification; 43 countries in total
5,question,Which best describes your current work type?,Employee,147,34.11,34.11,
5,question,Which best describes your current work type?,Freelancer / Contractor,69,16.01,16.01,
5,question,Which best describes your current work type?,Business owner,66,15.31,15.31,
5,question,Which best describes your current work type?,"Freelancer / Contractor, Business owner",40,9.28,9.28,
5,question,Which best describes your current work type?,"Employee, Freelancer / Contractor",31,7.19,7.19,
5,question,Which best describes your current work type?,"Employee, Business owner",15,3.48,3.48,
5,question,Which best describes your current work type?,Non-working - not looking for work,8,1.86,1.86,
5,question,Which best describes your current work type?,Other,7,1.62,1.62,
5,question,Which best describes your current work type?,"Freelancer / Contractor, Non-working - looking for work",7,1.62,1.62,
5,question,Which best describes your current work type?,Executive,7,1.62,1.62,
5,question,Which best describes your current work type?,"Employee, Freelancer / Contractor, Business owner",6,1.39,1.39,
5,question,Which best describes your current work type?,"Employee, Executive",5,1.16,1.16,
5,question,Which best describes your current work type?,Non-working - looking for work,4,0.93,0.93,
5,question,Which best describes your current work type?,"Executive, Business owner",3,0.7,0.7,
5,question,Which best describes your current work type?,"Freelancer / Contractor, Business owner, Non-working - looking for work",2,0.46,0.46,
5,question,Which best describes your current work type?,"Employee, Freelancer / Contractor, Non-working - looking for work",2,0.46,0.46,
5,question,Which best describes your current work type?,"Freelancer / Contractor, Other",2,0.46,0.46,
5,question,Which best describes your current work type?,Student,2,0.46,0.46,
5,question,Which best describes your current work type?,"Non-working - not looking for work, Other",1,0.23,0.23,
5,question,Which best describes your current work type?,"Employee, Freelancer / Contractor, Executive",1,0.23,0.23,
5,question,Which best describes your current work type?,"Employee, Non-working - not looking for work, Other",1,0.23,0.23,
5,question,Which best describes your current work type?,"Employee, Other",1,0.23,0.23,
5,question,Which best describes your current work type?,"Freelancer / Contractor, Non-working - not looking for work, Other",1,0.23,0.23,
5,question,Which best describes your current work type?,"Employee, Student",1,0.23,0.23,
5,question,Which best describes your current work type?,"Business owner, Non-working - not looking for work",1,0.23,0.23,
5,question,Which best describes your current work type?,"Freelancer / Contractor, Business owner, Student",1,0.23,0.23,
5,option,Employee,Employee,210,48.72,100.0,
5,option,Freelancer / Contractor,Freelancer / Contractor,162,37.59,100.0,
5,option,Executive,Executive,16,3.71,100.0,
5,option,Business owner,Business owner,134,31.09,100.0,
5,option,Non-working - looking for work,Non-working - looking for work,15,3.48,100.0,
5,option,Non-working - not looking for work,Non-working - not looking for work,12,2.78,100.0,
5,option,Student,Student,4,0.93,100.0,
2,option,Other,Other,13,3.02,100.0,
6,question,What size is the company you work for?,100+ employees,133,30.86,60.45,
6,question,What size is the company you work for?,1-20 employees,51,11.83,23.18,
6,question,What size is the company you work for?,20-50 employees,25,5.8,11.36,
6,question,What size is the company you work for?,50-100 employees,11,2.55,5.0,
7,question,What size is your company?,1-10 employees,66,15.31,49.25,
7,question,What size is your company?,No employees (other than you),59,13.69,44.03,
7,question,What size is your company?,11-20 employees,5,1.16,3.73,
7,question,What size is your company?,50+ employees,4,0.93,2.99,
8,free text,Describe your work type:,(free text - not published),9,2.09,,
