question_number,issue,group,n,pct_experienced_personally,pct_experienced_or_witnessed
46,Hostility or rudeness,All respondents,431,27.4,62.4
46,Hostility or rudeness,Gender: Male,300,25.0,60.3
46,Hostility or rudeness,Gender: Female,80,33.8,67.5
46,Hostility or rudeness,Gender: Prefer not to answer,35,28.6,62.9
46,Hostility or rudeness,Gender: Non-binary,15,40.0,73.3
46,Hostility or rudeness,Age: 35-44,161,30.4,71.4
46,Hostility or rudeness,Age: 45-54,135,23.7,57.0
46,Hostility or rudeness,Age: 55-64,65,26.2,61.5
46,Hostility or rudeness,Age: 25-34,39,25.6,53.8
46,Hostility or rudeness,Age: 65-74,20,35.0,50.0
46,Hostility or rudeness,Location: Non-US,246,24.0,54.9
46,Hostility or rudeness,Location: US,174,32.8,73.0
46,Hostility or rudeness,Work role: Employee only,150,26.7,60.0
46,Hostility or rudeness,Work role: Owner/Exec,120,34.2,64.2
46,Hostility or rudeness,Work role: Freelancer only,79,21.5,62.0
46,Hostility or rudeness,Work role: Employee+Freelance,40,25.0,67.5
46,Hostility or rudeness,Work role: Other/Non-working,22,27.3,63.6
46,Hostility or rudeness,Work role: Employee+Owner,20,20.0,60.0
46,Hostility or rudeness,Pay status: Unpaid,248,23.8,56.0
46,Hostility or rudeness,Pay status: Paid directly,116,33.6,69.8
46,Hostility or rudeness,Pay status: Paid indirectly,67,29.9,73.1
46,Hostility or rudeness,Tenure (combined): 15+ years,135,34.1,66.7
46,Hostility or rudeness,Tenure (combined): 10-15 years,122,30.3,73.0
46,Hostility or rudeness,Tenure (combined): 6-10 years,56,26.8,55.4
46,Hostility or rudeness,Tenure (combined): 3-6 years,29,20.7,55.2
46,Hostility or rudeness,Tenure (combined): 1-2 years,15,20.0,53.3
46,Hostility or rudeness,Participation level: Occasional participation,144,25.0,65.3
46,Hostility or rudeness,Participation level: Observational only,97,23.7,57.7
46,Hostility or rudeness,Participation level: Moderately active participation,76,38.2,64.5
46,Hostility or rudeness,Participation level: Very active participation,44,31.8,79.5
46,Hostility or rudeness,Participation level: Inactive,35,25.7,57.1
46,Hostility or rudeness,Participation level: Do not participate / Not applicable,35,20.0,42.9
46,Hostility or rudeness,Participation change: No change / About the same,199,17.6,47.2
46,Hostility or rudeness,Participation change: Decreased,94,35.1,77.7
46,Hostility or rudeness,Participation change: Significantly decreased,73,43.8,82.2
46,Hostility or rudeness,Participation change: Increased,48,27.1,64.6
46,Hostility or rudeness,Participation change: Significantly increased,17,29.4,64.7
46,Hostility or rudeness,"Event relationship: Never attended, not interested",120,24.2,55.0
46,Hostility or rudeness,Event relationship: Stopped attending,94,29.8,75.5
46,Hostility or rudeness,"Event relationship: Attend, multiple times a year",91,37.4,65.9
46,Hostility or rudeness,"Event relationship: Attend, annually or occasionally",90,22.2,56.7
46,Hostility or rudeness,"Event relationship: Never attended, would like to",28,10.7,53.6
46,Hostility or rudeness,Contribution type: No contribution work,197,22.3,55.3
46,Hostility or rudeness,Contribution type: Community and code work,112,39.3,74.1
46,Hostility or rudeness,Contribution type: Community work only,87,25.3,65.5
46,Hostility or rudeness,Contribution type: Code / project work only,35,22.9,57.1
46,Hostility or rudeness,Contributor identity: Agree,105,28.6,65.7
46,Hostility or rudeness,Contributor identity: Neutral,90,28.9,60.0
46,Hostility or rudeness,Contributor identity: Disagree,81,22.2,59.3
46,Hostility or rudeness,Contributor identity: Strongly disagree,79,19.0,51.9
46,Hostility or rudeness,Contributor identity: Strongly agree,76,38.2,75.0
46,Hostility or rudeness,Community membership: Agree,166,26.5,59.0
46,Hostility or rudeness,Community membership: Strongly agree,142,34.5,72.5
46,Hostility or rudeness,Community membership: Neutral,70,22.9,57.1
46,Hostility or rudeness,Community membership: Disagree,36,16.7,52.8
46,Hostility or rudeness,Community membership: Strongly disagree,17,17.6,52.9
46,Hostility or rudeness,Uses AI at work: Uses AI,308,28.6,64.3
46,Hostility or rudeness,Uses AI at work: Does not use AI,123,24.4,57.7
46,Hostility or rudeness,Contributes to open source elsewhere: Yes,228,30.7,69.3
46,Hostility or rudeness,Contributes to open source elsewhere: No,203,23.6,54.7
46,Hostility or rudeness,Volunteers outside WordPress and open source: Yes,251,30.7,67.3
46,Hostility or rudeness,Volunteers outside WordPress and open source: No,180,22.8,55.6
