section,finding_title,figures,claim,source_file,how_to_check
Section 1: The Respondents,Age,9.0%,Age: 25-34,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Age,37.4%,Age: 35-44,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Age,31.3%,Age: 45-54,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Age,15.1%,Age: 55-64,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Age,4.6%,Age: 65-74,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Age,2.6%,Age: Prefer not to answer,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Gender,69.6%,Gender: Male,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Gender,18.6%,Gender: Female,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Gender,8.1%,Gender: Prefer not to answer,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Gender,3.5%,Gender: Non-binary,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Where respondents work from,40.4%,Where respondents work from: United States,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Where respondents work from,7.9%,Where respondents work from: Netherlands,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Where respondents work from,7.0%,Where respondents work from: Canada,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Where respondents work from,6.3%,Where respondents work from: Germany,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Where respondents work from,6.0%,Where respondents work from: United Kingdom,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Where respondents work from,5.1%,Where respondents work from: Australia,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Where respondents work from,2.8%,Where respondents work from: Greece,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Where respondents work from,2.6%,Where respondents work from: Prefer not to answer,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Where respondents work from,2.3%,Where respondents work from: Spain,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Where respondents work from,2.3%,Where respondents work from: France,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Where respondents work from,17.4%,Where respondents work from: 33 other countries,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Work situation,48.7%,Work situation: Employee,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Work situation,37.6%,Work situation: Freelancer / Contractor,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Work situation,31.1%,Work situation: Business owner,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Work situation,3.7%,Work situation: Executive,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
