segment_variable,group,n,question_number,scale_type,item,mean,pct_1_2,pct_4_5,pct_5,net
Gender,All respondents,431,19,agreement,I consider myself to be a contributor to the WordPress open source project.,3.04,37.1,42.0,17.6,4.9
Gender,Male,300,19,agreement,I consider myself to be a contributor to the WordPress open source project.,3.16,33.0,47.0,20.7,14.0
Gender,Female,80,19,agreement,I consider myself to be a contributor to the WordPress open source project.,3.06,36.2,37.5,13.8,1.2
Gender,Prefer not to answer,35,19,agreement,I consider myself to be a contributor to the WordPress open source project.,2.14,68.6,14.3,2.9,-54.3
Gender,Non-binary,15,19,agreement,I consider myself to be a contributor to the WordPress open source project.,2.67,53.3,33.3,13.3,-20.0
Gender,All respondents,431,22,agreement,I consider myself to be a member of the WordPress community.,3.88,12.3,71.5,32.9,59.2
Gender,Male,300,22,agreement,I consider myself to be a member of the WordPress community.,3.95,12.0,72.7,37.0,60.7
Gender,Female,80,22,agreement,I consider myself to be a member of the WordPress community.,4.04,5.0,81.2,27.5,76.2
Gender,Prefer not to answer,35,22,agreement,I consider myself to be a member of the WordPress community.,3.0,31.4,42.9,11.4,11.4
Gender,Non-binary,15,22,agreement,I consider myself to be a member of the WordPress community.,3.8,13.3,66.7,33.3,53.3
Gender,All respondents,431,28,sentiment,"Right now, how do you feel overall about the WordPress open source project?",2.87,38.1,32.7,4.6,-5.3
Gender,Male,300,28,sentiment,"Right now, how do you feel overall about the WordPress open source project?",2.93,36.0,36.0,4.3,0.0
Gender,Female,80,28,sentiment,"Right now, how do you feel overall about the WordPress open source project?",2.88,37.5,27.5,6.2,-10.0
Gender,Prefer not to answer,35,28,sentiment,"Right now, how do you feel overall about the WordPress open source project?",2.2,62.9,11.4,0.0,-51.4
Gender,Non-binary,15,28,sentiment,"Right now, how do you feel overall about the WordPress open source project?",3.27,26.7,46.7,13.3,20.0
Gender,All respondents,431,31,sentiment,How do you feel about the future of the WordPress open source project?,2.8,39.0,24.4,5.1,-14.6
Gender,Male,300,31,sentiment,How do you feel about the future of the WordPress open source project?,2.85,37.3,26.7,5.7,-10.7
Gender,Female,80,31,sentiment,How do you feel about the future of the WordPress open source project?,2.8,35.0,22.5,3.8,-12.5
Gender,Prefer not to answer,35,31,sentiment,How do you feel about the future of the WordPress open source project?,2.11,71.4,5.7,0.0,-65.7
Gender,Non-binary,15,31,sentiment,How do you feel about the future of the WordPress open source project?,3.2,20.0,33.3,13.3,13.3
Gender,All respondents,431,34,importance,WordPress open source software,4.58,1.4,94.0,65.4,92.6
Gender,Male,300,34,importance,WordPress open source software,4.59,1.3,93.7,67.0,92.3
Gender,Female,80,34,importance,WordPress open source software,4.62,0.0,98.8,63.7,98.8
Gender,Prefer not to answer,35,34,importance,WordPress open source software,4.31,5.7,85.7,54.3,80.0
Gender,Non-binary,15,34,importance,WordPress open source software,4.73,0.0,100.0,73.3,100.0
Gender,All respondents,431,34,importance,The WordPress community,4.13,7.0,80.3,41.8,73.3
Gender,Male,300,34,importance,The WordPress community,4.19,5.7,82.3,44.0,76.7
Gender,Female,80,34,importance,The WordPress community,4.24,2.5,83.8,43.8,81.2
Gender,Prefer not to answer,35,34,importance,The WordPress community,3.29,31.4,57.1,17.1,25.7
Gender,Non-binary,15,34,importance,The WordPress community,4.27,0.0,80.0,46.7,80.0
Gender,All respondents,431,34,importance,WordPress events and meetups,3.26,26.7,50.1,19.5,23.4
Gender,Male,300,34,importance,WordPress events and meetups,3.31,25.3,51.3,19.7,26.0
Gender,Female,80,34,importance,WordPress events and meetups,3.59,16.2,62.5,23.8,46.2
Gender,Prefer not to answer,35,34,importance,WordPress events and meetups,2.09,60.0,17.1,5.7,-42.9
Gender,Non-binary,15,34,importance,WordPress events and meetups,3.13,33.3,40.0,26.7,6.7
Gender,All respondents,431,34,importance,Contributing to WordPress,3.31,18.8,45.7,13.9,26.9
Gender,Male,300,34,importance,Contributing to WordPress,3.43,16.0,51.0,16.0,35.0
Gender,Female,80,34,importance,Contributing to WordPress,3.25,18.8,41.2,12.5,22.5
Gender,Prefer not to answer,35,34,importance,Contributing to WordPress,2.54,40.0,20.0,2.9,-20.0
Gender,Non-binary,15,34,importance,Contributing to WordPress,2.87,26.7,26.7,6.7,0.0
Gender,All respondents,431,34,importance,Open source values,4.48,2.6,90.7,61.9,88.2
Gender,Male,300,34,importance,Open source values,4.47,2.7,89.7,61.7,87.0
Gender,Female,80,34,importance,Open source values,4.55,1.2,93.8,63.7,92.5
Gender,Prefer not to answer,35,34,importance,Open source values,4.23,5.7,88.6,45.7,82.9
Gender,Non-binary,15,34,importance,Open source values,4.93,0.0,100.0,93.3,100.0
Gender,All respondents,431,34,importance,AI in WordPress,2.47,52.7,29.0,12.8,-23.7
Gender,Male,300,34,importance,AI in WordPress,2.55,51.7,31.3,15.3,-20.3
Gender,Female,80,34,importance,AI in WordPress,2.62,42.5,30.0,6.2,-12.5
Gender,Prefer not to answer,35,34,importance,AI in WordPress,1.71,74.3,11.4,8.6,-62.9
Gender,Non-binary,15,34,importance,AI in WordPress,1.93,73.3,20.0,6.7,-53.3
Gender,All respondents,431,34,importance,Security in WordPress,4.68,1.4,95.1,75.6,93.7
