test_type,segment_variable,outcome_measure,question_number,groups_compared,statistic,p,significance,lowest_scoring_group,highest_scoring_group,spread_in_group_means
ordinal (Kruskal-Wallis),Event relationship,Attending in-person WordPress-related events is important to me.,50,5,289.8,1.716631996462587e-61,***,"Never attended, not interested","Attend, multiple times a year",3.12
ordinal (Kruskal-Wallis),Event relationship,WordPress events and meetups,34,5,232.83,3.2515727364957065e-49,***,"Never attended, not interested","Attend, multiple times a year",2.58
ordinal (Kruskal-Wallis),Contribution type,I consider myself to be a contributor to the WordPress open source project.,19,4,219.38,2.7299217049487076e-47,***,No contribution work,Community and code work,2.24
ordinal (Kruskal-Wallis),Participation level,I consider myself to be a member of the WordPress community.,22,6,219.04,2.386494021394983e-45,***,Do not participate / Not applicable,Very active participation,2.47
categorical (chi-square),Contributor identity,How would you describe your current level of community participation in the WordPress open,36,5,265.84,7.167106276297117e-45,***,,,
ordinal (Kruskal-Wallis),Uses AI at work,"Right now, how do you generally feel about AI in web development (vibe coding, agentic dev",69,2,194.97,2.6130622748802897e-44,***,Does not use AI,Uses AI,2.11
ordinal (Kruskal-Wallis),Uses AI at work,"Right now, how do you generally feel about AI in the tech industry?",67,2,183.75,7.358881777089799e-42,***,Does not use AI,Uses AI,1.99
ordinal (Kruskal-Wallis),Participation level,I consider myself to be a contributor to the WordPress open source project.,19,6,189.75,4.420267938570608e-39,***,Do not participate / Not applicable,Very active participation,2.96
ordinal (Kruskal-Wallis),Uses AI at work,"Right now, how do you generally feel about AI in WordPress?",68,2,165.15,8.497019412461959e-38,***,Does not use AI,Uses AI,1.61
ordinal (Kruskal-Wallis),Community membership,I consider myself to be a contributor to the WordPress open source project.,19,5,173.36,1.990844176855191e-36,***,Strongly disagree,Strongly agree,3.04
categorical (chi-square),Contribution type,How would you describe your current level of community participation in the WordPress open,36,4,208.73,3.558882603892399e-36,***,,,
ordinal (Kruskal-Wallis),Contributor identity,I consider myself to be a member of the WordPress community.,22,5,171.53,4.919913700330177e-36,***,Strongly disagree,Strongly agree,2.07
categorical (chi-square),Event relationship,How would you describe your current level of community participation in the WordPress open,36,5,220.41,9.881921649088468e-36,***,,,
ordinal (Kruskal-Wallis),Community membership,Attending in-person WordPress-related events is important to me.,50,5,159.92,1.5220053139862475e-33,***,Strongly disagree,Strongly agree,2.58
ordinal (Kruskal-Wallis),Event relationship,I consider myself to be a member of the WordPress community.,22,5,158.72,2.756975055335288e-33,***,"Never attended, not interested","Attend, multiple times a year",1.64
ordinal (Kruskal-Wallis),Community membership,WordPress events and meetups,34,5,154.31,2.4279646416067117e-32,***,Strongly disagree,Strongly agree,2.59
ordinal (Kruskal-Wallis),Participation level,Attending in-person WordPress-related events is important to me.,50,6,157.18,3.958164322322812e-32,***,Do not participate / Not applicable,Very active participation,3.05
ordinal (Kruskal-Wallis),Contribution type,I consider myself to be a member of the WordPress community.,22,4,147.6,8.676619153867911e-32,***,No contribution work,Community and code work,1.3
ordinal (Kruskal-Wallis),Event relationship,I consider myself to be a contributor to the WordPress open source project.,19,5,150.37,1.6979735750146025e-31,***,"Never attended, not interested","Attend, multiple times a year",2.13
ordinal (Kruskal-Wallis),Contributor identity,Contributing to WordPress,34,5,149.32,2.8499599397754264e-31,***,Strongly disagree,Strongly agree,1.89
ordinal (Kruskal-Wallis),Participation level,WordPress events and meetups,34,6,140.45,1.4340097184095366e-28,***,Do not participate / Not applicable,Very active participation,2.72
categorical (chi-square),Contributor identity,Which best describes your participation in official WordPress open source project events (,51,5,183.97,1.6161588768139787e-28,***,,,
ordinal (Kruskal-Wallis),Event relationship,"Right now, how do you generally feel about AI in WordPress?",68,5,132.64,1.0601468233783717e-27,***,"Never attended, not interested","Attend, multiple times a year",1.65
ordinal (Kruskal-Wallis),Contributor identity,WordPress events and meetups,34,5,129.23,5.693531116664906e-27,***,Strongly disagree,Strongly agree,2.0
